Locale;Language;Country;Date Language;List Separator;Currency;Currency Symbol;Decimal Symbol;Thousand Symbol;Thousand Digit;Date Separator Symbol;Time Separator Symbol;Date Format;Time Format;;Lookup Date Language;Months;Short Months;Weekdays;Short Weekdays 2;Short Weekdays 3;Ordinal;Week;Week Abbr;True False;;;Notes:
none;none;none;en;";";USD;$;.;;0;-;:;YYYY-MM-DD;HH:II:SS;;en;Month,January,February,March,April,May,June,July,August,September,October,November,December;Mon,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec;Not specified,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday;Not specified,Mo,Tu,We,Th,Fr,Sa,Su;Not specified,Mon,Tue,Wed,Thu,Fri,Sat,Sun;Unspecified,St,Nd,Rd,Th,Th,Th,Th,Th,Th,Th;Week;Wk;False,True,No,Yes;;;The 1st row refers to default values if no language is provided:
en_US;English;USA;en;,;USD;$;.;,;3;/;:;M/D/YYYY;HH:II:SS;;de;Monat,Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember;Mon,Jan,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez;Not specified,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag,Sonntag;Not specified,Mo,Di,Mi,Do,Fr,Sa,So;Not specified,Mon,Die,Mit,Don,Fre,Sam,Son;Unspecified,.,.,.,.,.,.,.,.,.,.;Woche;KW;Falsch,Wahr,Nein,Ja;;;Decimal point, no 1000-separator, universal date format, english language
en_GB;English;Great Britain;en;,;GBP;£;.;,;3;/;:;DD/MM/YYYY;HH:II:SS;;de_at;Monat,Jänner,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember;Mon,Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez;Not specified,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag,Sonntag;Not specified,Mo,Di,Mi,Do,Fr,Sa,So;Not specified,Mon,Die,Mit,Don,Fre,Sam,Son;Unspecified,.,.,.,.,.,.,.,.,.,.;Woche;KW;Falsch,Wahr,Nein,Ja;;;
en_UK;English;Great Britain;en;,;GBP;£;.;,;3;/;:;DD/MM/YYYY;HH:II:SS;;fr;Mois,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre;M,Janv,Févr,Mars,Avr,Mai,Juin,Juill,Août,Sept,Oct,Nov,Déc;Not specified,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche;Not specified,Lu,Ma,Me,Je,Ve,Sa,Di;Not specified,Lun,Mar,Mer,Jeu,Ven,Sam,Dim;Unspecified,Er,Ème,Ème,Ème,Ème,Ème,Ème,Ème,Ème,Ème;Semaine;Sem;Faux,Vrai,Non,Oui;;;
en_CA;English;Canada;en;,;CAD;$;.;,;3;/;:;DD/MM/YYYY;HH:II:SS;;it;Mese,Gennaio,Febbraio,Marzo,Aprile,Maggio,Giugno,Luglio,Agosto,Settembre,Ottobre,Novembre,Dicembre;Mes,Gen,Feb,Mar,Apr,Mag,Giu,Lug,Ago,Set,Ott,Nov,Dic;Not specified,Lunedì,Martedì,Mercoledì,Giovedì,Venerdì,Sabato,Domenica;Not specified,Lu,Ma,Me,Gi,Ve,Sa,Do;Not specified,Lun,Mar,Mer,Gio,Ven,Sab,Dom;Unspecified,o,o,o,o,o,o,o,o,o,o;Settimana;Sem;Falso,Vero,Non,Sì;;;
en_FR;English;France;en;,;EUR;€;,; ;3;/;:;DD/MM/yyyy;HH:II:SS;;es;Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre;Mes,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic;Not specified,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo;Not specified,Lu,Ma,Mi,Ju,Vi,Sa,Do;Not specified,Lun,Mar,Mié,Jue,Vie,Sáb,Dom;Unspecified,º,º,º,º,º,º,º,º,º,º;Semana;Sem;Falso,Verdadero,No,Si;;;
en_IN;English;India;en;,;INR;₹;.;,;2;/;:;D/M/YYYY;HH:II:SS;;sv;Månad,Januari,Februari,Mars,April,Maj,Juni,Juli,Augusti,September,Oktober,November,December;Mån,Jan,Feb,Mars,Apr,Maj,Juni,Juli,Aug,Sep,Okt,Nov,Dec;Not specified,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag;Not specified,Må,Ti,On,To,Fr,Lö,Sö;Not specified,Mån,Tis,Ons,Tors,Fre,Lör,Sön;Unspecified,:e,:e,:e,:e,:e,:e,:e,:e,:e,:e;Vecka;Vec;Falskt,Sant,Nej,Ja;;;
hi_IN;Hindi;India;hi;,;INR;₹;.;,;2;/;:;D/M/YYYY;HH:II:SS;;hi;माह,जनवरी,फरवरी,मार्च,अप्रैल,मई,जून,जुलाई,अगस्त,सितंबर,अक्टूबर,नवंबर,दिसंबर;माह,जनवरी,फरवरी,मार्च,अप्रैल,मई,जून,जुलाई,अगस्त,सितंबर,अक्टूबर,नवंबर,दिसंबर;दिन,सोमवार,मंगलवार,बुधवार,गुरुवार,शुक्रवार,शनिवार,रविवार;;;;सप्ताह;सप्ताह;False,True,नहीं,हाँ;;;
de_DE;German;Germany;de;";";EUR;€;,;.;3;.;:;DD.MM.YYYY;HH:II:SS;;nl;Maand,Januari,Februari,Maart,April,Mei,Juni,Juli,Augustus,September,Oktober,November, December;Mnd,Jan,Feb,Mrt,Apr,Mei,Jun,Jul,Aug,Sep,Okt,Nov,Dec;Not specified,Maandag,Dinsdag,Woensdag,Donderdag,Vrijdag,Zaterdag,Zondag,;Not specified,Ma,Di,Wo,Do,Vr,Za,Zo;Not specified,Maan,Din,Woe,Don,Vrij,Zat,Zon;;Week;Wk;Onwaar,Waar,Nee,Ja;;;
en_DE;English;Germany;en;,;EUR;€;,;.;3;/;:;DD/MM/YYYY;HH:II:SS;;;;;;;;;;;;;;
de_CH;German;Switzerland;de;";";CHF;CHF;.;';3;.;:;DD.MM.YYYY;HH:II:SS;;;;;;;;;;;;;;
de_CH_HP;German;Switzerland HP;de;";";CHF;CHF;.;’;3;.;:;DD.MM.YYYY;HH:II:SS;;;;;;;;;;;;;;
en_CH;English;Switzerland;en;,;CHF;CHF;,;.;3;/;:;DD/MM/YYYY;HH:II:SS;;;;;;;;;;;;;;
de_AT;German;Austria;de_at;";";EUR;€;,; ;3;.;:;DD.MM.YYYY;HH:II:SS;;;;;;;;;;;;;;
en_AT;English;Austria;en;,;EUR;€;,;.;3;/;:;DD/MM/YYYY;HH:II:SS;;;;;;;;;;;;;;
fr_CA;French;Canada;fr;";";CAD;$;.; ;3;.;:;yyyy-MM-dd;HH:II:SS;;;;;;;;;;;;;;
fr_FR;French;France;fr;";";EUR;€;,; ;3;.;:;DD.MM.YYYY;HH:II:SS;;;;;;;;;;;;;;
fr_CH;French;Switzerland;fr;";";CHF;CHF;,; ;3;.;:;DD.MM.YYYY;HH:II:SS;;;;;;;;;;;;;;
fr_BE;French;Belgium;fr;";";EUR;€;,; ;3;/;:;D/MM/YYYY;HH:II:SS;;;;;;;;;;;;;;
it_IT;Italian;Italy;it;";";EUR;€;,;.;3;/;:;DD/MM/YYYY;HH:II:SS;;;;;;;;;;;;;;
it_CH;Italian;Switzerland;it;";";CHF;CHF;.;';3;.;:;DD.MM.YYYY;HH:II:SS;;;;;;;;;;;;;;
it_CH_HP;Italian;Switzerland HP;it;";";CHF;CHF;.;’;3;.;:;DD.MM.YYYY;HH:II:SS;;;;;;;;;;;;;;
de_IT;German;Italy;de;";";EUR;€;,;.;3;.;:;DD.MM.YYYY;HH:II:SS;;;;;;;;;;;;;;
es_ES;Spanish;Spain;es;";";EUR;€;.;,;3;/;:;D/MM/YYYY;HH:II:SS;;;;;;;;;;;;;;
es_US;Spanish;USA;es;,;USD;$;.;,;3;/;:;M/D/YYYY;HH:II:SS;;;;;;;;;;;;;;
sv_SE;Swedish;Sweden;en;";";SEK;SEK;,; ;3;-;:;YYYY-MM-DD;HH:II:SS;;;;;;;;;;;;;;
en_SE;English;Sweden;en;";";SEK;SEK;,;;3;-;:;YYYY-MM-DD;HH:II:SS;;;;;;;;;;;;;;
nl_NL;Dutch;Netherlands;nl;";";EUR;€;,;.;3;;:;DD-MM-YYYY;HH:II:SS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;B4P Locale Directory;;;http://www.localeplanet.com/icu/;;;;; ;= 1 blank;;;;;;;;;;;;;;;
